family	genus	species	CAAB
Epinephelidae/Groupers	Epinephelus	merra/Honeycomb grouper	Fishbase:4923
Chaetodontidae/Butterflyfishes	Chaetodon	rafflesii/Lattice butterflyfish	Fishbase:5573
Labridae/Wrasses	Scarus	oviceps/Darkcap parrotfish	Fishbase:5551
Labridae/Wrasses	Concholabrus	fasciatus/Redbreasted wrasse	Fishbase:5600
Siganidae/Rabbitfishes	Siganus	vulpinus/Foxface	Fishbase:4629
Labridae/Wrasses	Hemigymnus	fasciatus/Barred thicklip	Fishbase:5635
Pomacentridae/Damselfishes	Stegastes	lacrymatus/Whitespotted devil	Fishbase:5712
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Naso	lituratus/Orangespine unicornfish	Fishbase:1264
Pomacentridae/Damselfishes	Pomacentrus	nigromarginatus/Blackmargined damsel	Fishbase:6621
Siganidae/Rabbitfishes	Siganus	puellus/Masked spinefoot	Fishbase:4617
Pomacanthidae/Angelfishes	Centropyge	tibicen/Keyhole angelfish	Fishbase:6548
Pomacentridae/Damselfishes	Azurina	lepidolepis/Scaly chromis	Fishbase:5674
Balistidae/Triggerfishes	Sufflamen	bursa/Boomerang triggerfish	Fishbase:6029
Labridae/Wrasses	Hipposcarus	longiceps/Pacific longnose parrotfish	Fishbase:5539
Chaetodontidae/Butterflyfishes	Chaetodon	unimaculatus/Teardrop butterflyfish	Fishbase:5581
Ephippidae/Spadefishes, batfishes and scats	Platax	teira/Longfin batfish	Fishbase:5739
Caesionidae/Fusiliers	Caesio	caerulaurea/Blue and gold fusilier	Fishbase:918
Labridae/Wrasses	Halichoeres	scapularis/Zigzag wrasse	Fishbase:5633
Mullidae/Goatfishes	Parupeneus	crassilabris/Triplebar goatfish	Fishbase:60947
Nemipteridae/Threadfin breams, Whiptail breams	Scolopsis	margaritifera/Pearly monocle bream	Fishbase:5878
Holocentridae/Squirrelfishes, soldierfishes	Myripristis	violacea/Lattice soldierfish	Fishbase:7309
Labridae/Wrasses	Scarus	hypselopterus/Yellowtail parrotfish	Fishbase:12707
Labridae/Wrasses	Anampses	meleagrides/Spotted wrasse	Fishbase:4889
Labridae/Wrasses	Scarus	russelii/Eclipse parrotfish	Fishbase:7912
Haemulidae/Grunts	Plectorhinchus	vittatus/Oriental sweetlips	Fishbase:25706
Labridae/Wrasses	Anampses	geographicus/Geographic wrasse	Fishbase:4891
Labridae/Wrasses	Choerodon	anchorago/Orange-dotted tuskfish	Fishbase:5502
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Naso	caeruleacauda/Blue unicorn	Fishbase:27318
Chaetodontidae/Butterflyfishes	Chaetodon	ephippium/Saddle butterflyfish	Fishbase:5562
Holocentridae/Squirrelfishes, soldierfishes	Sargocentron	caudimaculatum/Silverspot squirrelfish	Fishbase:4907
Labridae/Wrasses	Gomphosus	varius/Bird wrasse	Fishbase:5626
Lethrinidae/Emperors or scavengers	Lethrinus	erythracanthus/Orange-spotted emperor	Fishbase:1862
Pomacentridae/Damselfishes	Neopomacentrus	azysron/Yellowtail demoiselle	Fishbase:10227
Labridae/Wrasses	Scarus	ghobban/Blue-barred parrotfish	Fishbase:5548
Holocentridae/Squirrelfishes, soldierfishes	Neoniphon	sammara/Sammara squirrelfish	Fishbase:4911
Labridae/Wrasses	Cirrhilabrus	solorensis/Red-eye wrasse	Fishbase:60815
Nemipteridae/Threadfin breams, Whiptail breams	Scolopsis	trilineata/Threeline monocle bream	Fishbase:5881
Epinephelidae/Groupers	Epinephelus	fasciatus/Blacktip grouper	Fishbase:5348
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Acanthurus	nigricauda/Epaulette surgeonfish	Fishbase:4747
Blenniidae/Combtooth blennies	Aspidontus	taeniatus/False cleanerfish	Fishbase:6066
Carangidae/Jacks and pompanos	Caranx	melampygus/Bluefin trevally	Fishbase:1906
Chaetodontidae/Butterflyfishes	Chaetodon	speculum/Mirror butterflyfish	Fishbase:5576
Lethrinidae/Emperors or scavengers	Monotaxis	grandoculis/Humpnose big-eye bream	Fishbase:1869
Pomacanthidae/Angelfishes	Pomacanthus	sexstriatus/Sixbar angelfish	Fishbase:6564
Pomacentridae/Damselfishes	Chromis	opercularis/Doublebar chromis	Fishbase:12427
Cirrhitidae/Hawkfishes	Paracirrhites	forsteri/Blackside hawkfish	Fishbase:5952
Labridae/Wrasses	Epibulus	insidiator/Sling-jaw wrasse	Fishbase:5606
Lutjanidae/Snappers	Lutjanus	fulvus/Blacktail snapper	Fishbase:262
Pseudochromidae/Dottybacks	Labracinus	cyclophthalmus/Fire-tail devil	Fishbase:12662
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Acanthurus	nigricans/Whitecheek surgeonfish	Fishbase:6011
Chaetodontidae/Butterflyfishes	Chaetodon	lineolatus/Lined butterflyfish	Fishbase:5564
Haemulidae/Grunts	Plectorhinchus	lineatus/Yellowbanded sweetlips	Fishbase:6940
Pomacentridae/Damselfishes	Neopomacentrus	violascens/Violet demoiselle	Fishbase:5706
Pomacentridae/Damselfishes	Plectroglyphidodon	johnstonianus/Johnston Island damsel	Fishbase:5711
Pseudochromidae/Dottybacks	Pictichromis	paccagnellorum/Royal dottyback	Fishbase:12647
Siganidae/Rabbitfishes	Siganus	lineatus/Golden-lined spinefoot	Fishbase:4625
Lethrinidae/Emperors or scavengers	Lethrinus	erythropterus/Longfin emperor	Fishbase:1842
Lutjanidae/Snappers	Lutjanus	biguttatus/Twospot banded snapper	Fishbase:1410
Mullidae/Goatfishes	Parupeneus	trifasciatus/Doublebar goatfish	Fishbase:5988
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Naso	unicornis/Bluespine unicornfish	Fishbase:1265
Chaetodontidae/Butterflyfishes	Chaetodon	punctatofasciatus/Spotband butterflyfish	Fishbase:5571
Holocentridae/Squirrelfishes, soldierfishes	Myripristis	adusta/Shadowfin soldierfish	Fishbase:6506
Labridae/Wrasses	Anampses	caeruleopunctatus/Bluespotted wrasse	Fishbase:4888
Labridae/Wrasses	Cheilio	inermis/Cigar wrasse	Fishbase:5623
Labridae/Wrasses	Coris	batuensis/Batu coris	Fishbase:25688
Labridae/Wrasses	Coris	gaimard/African coris	Fishbase:5625
Labridae/Wrasses	Oxycheilinus	digramma/Cheeklined wrasse	Fishbase:5599
Pomacentridae/Damselfishes	Chromis	xanthochira/Yellow-axil chromis	Fishbase:5681
Pomacentridae/Damselfishes	Neoglyphidodon	crossi/Cross' damsel	Fishbase:12457
Pomacentridae/Damselfishes	Pomacentrus	burroughi/Burrough's damsel	Fishbase:5719
Pomacentridae/Damselfishes	Pomacentrus	philippinus/Philippine damsel	Fishbase:5727
Scombridae/Mackerels, tunas, bonitos	Grammatorcynus	bilineatus/Doublelined mackerel	Fishbase:104
Tetraodontidae/Puffers	Canthigaster	papua/Papuan toby	Fishbase:55072
Aulostomidae/Trumpetfishes	Aulostomus	chinensis/Chinese trumpetfish	Fishbase:1309
Balistidae/Triggerfishes	Balistoides	viridescens/Titan triggerfish	Fishbase:6026
Chaetodontidae/Butterflyfishes	Chaetodon	meyeri/Scrawled butterflyfish	Fishbase:5568
Chaetodontidae/Butterflyfishes	Heniochus	acuminatus/Pennant coralfish	Fishbase:5588
Fistulariidae/Cornetfishes	Fistularia	commersonii/Bluespotted cornetfish	Fishbase:5444
Labridae/Wrasses	Bodianus	mesothorax/Splitlevel hogfish	Fishbase:5501
Lethrinidae/Emperors or scavengers	Lethrinus	harak/Thumbprint emperor	Fishbase:1851
Lutjanidae/Snappers	Lutjanus	bohar/Two-spot red snapper	Fishbase:1417
Siganidae/Rabbitfishes	Siganus	punctatissimus/Peppered spinefoot	Fishbase:4620
